Table 1
Category,Proxy,Unit,£ Value,Evidence,Evidence Match,Research Batch,
National TOMs Framework,Ref 1.3 – Initiatives that tackle alcohol abuse targeted to higher-risk drinkers       Globa (beyond core services),of ndent kers,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 1.4 – Additional drug misuse Globa programmes delivered,l no. rammes year,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 1.5 – Initiatives that tackle smoking to reduce dependency (beyond core            Globa services),vested l. staff ),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,"Ref 1.6 – Initiatives that promote healthy eating, drinking and exercise to tackle      Globa obesity",vested l. staff ),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 1.7 – Initiatives or interventions to Globa promote good mental health,vested l. staff ),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework /app.socialvalueengine.co.uk/proxies - Social Value Engine,Ref 1.8 – Initiatives that increase access Globa to mental health support,"vested l. staff ) Page 59 of 103 20/08/2026, 17:30",,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 1.9 – Initiatives to support carers to feel less isolated and build peer            Globa networks,vested l. staff ),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 2.10 – Opportunities for more equal distribution of care among household         Globa members,vested l. staff ),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 2.11 – Weeks spent on accredited Globa training (Level 2/3/4+),week,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 2.12 – Weeks of apprenticeships Globa (Level 2/3/4+),week,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 2.13 – Weeks on meaningful work placements or pre-employment Globa courses (incl. 1–6 week student placements),week,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 2.14 – Paid meaningful work placements (≥6 weeks) at Min/National        Globa Living Wage,week,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 2.1 – Jobs (FTE) created for people Globa with disabilities,people ),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 2.2 – Local people employed on Globa contract (FTE),people ),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 2.3 – % of local people employed on Globa contract (FTE),,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 2.4 – Employees (FTE) taken on who Globa are long-term unemployed (≥1 year),people ),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 2.5 – Employees (FTE) taken on who are rehabilitating young offenders (18–      Globa 24),people ),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 2.6 – People in workforce/supply Globa chain paid at least the real Living Wage,staff and %,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 2.7 – Diversity training for Global employees/contractors/subcontractors,× ees,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 2.8 – Initiatives to support women back into work after career                Global breaks/parental leave,sted staff,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 2.9 – Flexible working initiatives – Global travel time saved for employees,of travel,,https://content.tfl.gov.uk/Technical-Note-3-Total-vehicle-delay-in-London.pdf,Existing evidence link,,
National TOMs Framework,Ref 3.10 – Initiatives to create Global dementia-friendly environments,sted staff,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 3.11 – Pro bono room use for health & wellbeing activities (equivalent rent    Global value),valent alue,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 3.12 – Procurement contracts including ethical procurement              Global commitments (no.),ntracts,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 3.13 – Total spend on contracts with Global ethical procurement commitments,£,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 3.14 – Modern Slavery & Human Global Trafficking Statement required (Y/N),,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 3.15 – Link to Modern Slavery & Global Human Trafficking Statement provided,,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 3.16 – Contracts where Social Value commitments/measurement/monitoring         Global are required (no.),ntracts,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 3.17 – Total spend on contracts requiring Social Value                     Global commitments/measurement/monitoring,£,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 3.18 – Contracts where service users involved in design/development       Global (no.),ntracts,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 3.1 – Commitment to staff wellbeing Global (time dedicated for wellbeing courses),es,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 3.2 – % of workforce mental-health first-aid trained                         Global,aff,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 3.3 – Signed up to Time to Change Global Employer’s Pledge (Y/N),,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 3.4 – Spend with VCSEs within Global supply chain,,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,"Ref 3.5 – Expert business advice to Global VCSEs/SMEs (e.g., legal/HR/HSE)",ert our,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 3.6 – Equipment/resources donated Global to VCSEs (£ equivalent),,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 3.7 – Spend in the LOCAL supply Global chain through the contract,,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 3.8 – Contracts reserved for sheltered workshops / social              Global enterprises (no.),,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 3.9 – Total spend on contracts reserved for sheltered workshops /        Global social enterprises,,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 4.10 – Miles driven in low/no- Global emission staff vehicles (on contract),e,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 4.11 – Flexible working to reduce Global unnecessary staff travel (CO2e saved),ne ved,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 4.12 – “Care miles” reduced by Global digitising services (CO2e saved),ne ved,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework /app.socialvalueengine.co.uk/proxies - Social Value Engine,Ref 4.13 – Voluntary time for green infrastructure/biodiversity/green-space   Global upkeep,"ering age 62 of 103 /08/2026, 17:30",,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 4.14 – Initiatives to maximise Globa positive impact on local green space,vested l. staff ),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 4.15 – Procurement contracts with sustainable procurement                      Globa commitments/certifications (no.),rd only,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 4.16 – Total spend on contracts with sustainable procurement                      Globa commitments/certifications,l £,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 4.1 – Greenhouse gas emissions Globa (non-transport) reduced on contract,tonne,,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Existing evidence link,,
